REGWLD,EVCHANGE,SCEN,Value
IDN,EVpct,SRnD20,0.55528354645
INDIA,EVpct,SRnD20,-0.026310989633
JAPAN,EVpct,SRnD20,-1.09971780329943E-0003
KOR,EVpct,SRnD20,-0.019683301449
MAR,EVpct,SRnD20,0.2592433393
MDG,EVpct,SRnD20,0.2156086266
MEAS_NAfr,EVpct,SRnD20,0.34051424265
MEX,EVpct,SRnD20,0.13055673242
MYS,EVpct,SRnD20,0.21975830197
NGA,EVpct,SRnD20,0.76735109091
Oceania,EVpct,SRnD20,0.073932036757
Oth_CEE_CIS,EVpct,SRnD20,0.19432510436
Oth_Europe,EVpct,SRnD20,0.15032926202
PAK,EVpct,SRnD20,0.26080921292
PHL,EVpct,SRnD20,0.34834510088
POL,EVpct,SRnD20,0.11210939288
R_S_Asia,EVpct,SRnD20,0.44329166412
R_SE_Asia,EVpct,SRnD20,0.1969050914
Russia,EVpct,SRnD20,0.14829418063
S_o_Amer,EVpct,SRnD20,0.073680266738
S_S_AFR,EVpct,SRnD20,0.38669243455
TUR,EVpct,SRnD20,0.057388108224
USA,EVpct,SRnD20,-7.41279032081366E-0003
VNM,EVpct,SRnD20,0.50607007742
XAC,EVpct,SRnD20,0.20965842903
ZAF,EVpct,SRnD20,-0.051479179412
World,EVpct,SRnD20,0.096191480756
ARG,EVval,SRnD20,-561.83227539
BGD,EVval,SRnD20,589.487854
BRAZIL,EVval,SRnD20,-719.76849365
C_C_Amer,EVval,SRnD20,1882.1383057
CAN,EVval,SRnD20,513.14239502
CHIHKG,EVval,SRnD20,21984.931641
COL,EVval,SRnD20,382.06393433
E_Asia,EVval,SRnD20,621.98614502
EGY,EVval,SRnD20,3045.0273438
ETH,EVval,SRnD20,511.06286621
EU27,EVval,SRnD20,1210.9370117
IDN,EVval,SRnD20,5707.9160156
INDIA,EVval,SRnD20,-654.63513184
JAPAN,EVval,SRnD20,-40.462364197
KOR,EVval,SRnD20,-279.22229004
MAR,EVval,SRnD20,351.73718262
MDG,EVval,SRnD20,38.867050171
MEAS_NAfr,EVval,SRnD20,14470.663086
MEX,EVval,SRnD20,1819.6044922
MYS,EVval,SRnD20,938.25805664
NGA,EVval,SRnD20,11530.621094
Oceania,EVval,SRnD20,1974.7532959
Oth_CEE_CIS,EVval,SRnD20,2641.3520508
Oth_Europe,EVval,SRnD20,2032.5079346
PAK,EVval,SRnD20,615.49676514
PHL,EVval,SRnD20,1537.3840332
POL,EVval,SRnD20,757.93682861
R_S_Asia,EVval,SRnD20,740.44287109
R_SE_Asia,EVval,SRnD20,1629.657959
Russia,EVval,SRnD20,5082.3369141
S_o_Amer,EVval,SRnD20,1125.6390381
S_S_AFR,EVval,SRnD20,4112.371582
TUR,EVval,SRnD20,576.1026001
USA,EVval,SRnD20,-1337.5090332
VNM,EVval,SRnD20,1488.890625
XAC,EVval,SRnD20,931.88391113
ZAF,EVval,SRnD20,-213.00584412
World,EVval,SRnD20,87038.765625
ARG,EVpct,GPESSRRnD20,-0.060337778181
BGD,EVpct,GPESSRRnD20,0.1923635155
BRAZIL,EVpct,GPESSRRnD20,-9.83479153364897E-0003
C_C_Amer,EVpct,GPESSRRnD20,0.31250965595
CAN,EVpct,GPESSRRnD20,-0.031165698543
CHIHKG,EVpct,GPESSRRnD20,0.14691179991
COL,EVpct,GPESSRRnD20,0.073904879391
E_Asia,EVpct,GPESSRRnD20,0.37792041898
EGY,EVpct,GPESSRRnD20,0.57378458977
ETH,EVpct,GPESSRRnD20,0.60320973396
EU27,EVpct,GPESSRRnD20,-0.048054318875
IDN,EVpct,GPESSRRnD20,1.4637796879
INDIA,EVpct,GPESSRRnD20,-0.014310953207
