ENDW,AREGWLD,ENDWRES,SCEN,Value
AEZ9,LowIncome,qe,BAU_aES,-8.49324371665716E-0003
AEZ10,LowIncome,qe,BAU_aES,-0.010309625417
AEZ11,LowIncome,qe,BAU_aES,-7.53527972847223E-0003
AEZ12,LowIncome,qe,BAU_aES,-2.33269319869578E-0003
AEZ13,LowIncome,qe,BAU_aES,2.19532083178819E-0007
AEZ14,LowIncome,qe,BAU_aES,-2.66633112914860E-0003
AEZ15,LowIncome,qe,BAU_aES,-3.89402871951461E-0003
AEZ16,LowIncome,qe,BAU_aES,-5.62371751584578E-0005
AEZ1,World,qe,BAU_aES,-1.10228150151670E-0003
AEZ2,World,qe,BAU_aES,-6.07988378033042E-0003
AEZ3,World,qe,BAU_aES,-0.019516464323
AEZ4,World,qe,BAU_aES,-0.040780443698
AEZ5,World,qe,BAU_aES,-0.03630534187
AEZ6,World,qe,BAU_aES,0.18668204546
AEZ7,World,qe,BAU_aES,-3.34101496264338E-0003
AEZ8,World,qe,BAU_aES,-0.016297796741
AEZ9,World,qe,BAU_aES,-0.010093962774
AEZ10,World,qe,BAU_aES,-8.48053209483624E-0003
AEZ11,World,qe,BAU_aES,-3.86901618912816E-0003
AEZ12,World,qe,BAU_aES,-4.39139222726226E-0003
AEZ13,World,qe,BAU_aES,-7.01414246577769E-0005
AEZ14,World,qe,BAU_aES,-1.18547957390547E-0003
AEZ15,World,qe,BAU_aES,-4.83869109302759E-0003
AEZ16,World,qe,BAU_aES,-8.86291581991827E-0006
AEZ17,World,qe,BAU_aES,-3.79479985213038E-0008
AEZ18,World,qe,BAU_aES,-9.76265596364101E-0007
AEZ1,HighIncome,pe,GlOBPES,1.6310859919
AEZ2,HighIncome,pe,GlOBPES,1.3268860579
AEZ3,HighIncome,pe,GlOBPES,1.2817858458
AEZ4,HighIncome,pe,GlOBPES,0.71012443304
AEZ5,HighIncome,pe,GlOBPES,0.44426447153
AEZ6,HighIncome,pe,GlOBPES,0.41923171282
AEZ7,HighIncome,pe,GlOBPES,0.17944835126
AEZ8,HighIncome,pe,GlOBPES,0.17511163652
AEZ9,HighIncome,pe,GlOBPES,0.32952365279
AEZ10,HighIncome,pe,GlOBPES,0.47820103168
AEZ11,HighIncome,pe,GlOBPES,0.56196731329
AEZ12,HighIncome,pe,GlOBPES,0.74525606632
AEZ13,HighIncome,pe,GlOBPES,1.1796579361
AEZ14,HighIncome,pe,GlOBPES,1.1799190044
AEZ15,HighIncome,pe,GlOBPES,1.2221153975
AEZ16,HighIncome,pe,GlOBPES,1.2004650831
AEZ17,HighIncome,pe,GlOBPES,1.2221153975
AEZ18,HighIncome,pe,GlOBPES,1.2221153975
UnSkLab,HighIncome,pe,GlOBPES,0.083534680307
SkLab,HighIncome,pe,GlOBPES,0.014694700018
Capital,HighIncome,pe,GlOBPES,0.046811200678
NatRes,HighIncome,pe,GlOBPES,0.08394087106
