REGWLD,GDPS,SCEN,Value
XAC,GDPpct,GlOBPES,-0.01476144325
ZAF,GDPpct,GlOBPES,-0.015087526292
World,GDPpct,GlOBPES,0.012389902025
ARG,RealGDPvalch,GlOBPES,204.02325439
BGD,RealGDPvalch,GlOBPES,-186.93815613
BRAZIL,RealGDPvalch,GlOBPES,364.19528198
C_C_Amer,RealGDPvalch,GlOBPES,192.40682983
CAN,RealGDPvalch,GlOBPES,-197.85586548
CHIHKG,RealGDPvalch,GlOBPES,5458.8876953
COL,RealGDPvalch,GlOBPES,70.03440094
E_Asia,RealGDPvalch,GlOBPES,-22.328638077
EGY,RealGDPvalch,GlOBPES,1451.0544434
ETH,RealGDPvalch,GlOBPES,13.034975052
EU27,RealGDPvalch,GlOBPES,170.85255432
IDN,RealGDPvalch,GlOBPES,-2555.5820313
INDIA,RealGDPvalch,GlOBPES,1567.3737793
JAPAN,RealGDPvalch,GlOBPES,219.91030884
KOR,RealGDPvalch,GlOBPES,116.58233643
MAR,RealGDPvalch,GlOBPES,103.53199768
MDG,RealGDPvalch,GlOBPES,13.181132317
MEAS_NAfr,RealGDPvalch,GlOBPES,3159.9291992
MEX,RealGDPvalch,GlOBPES,20.059570313
MYS,RealGDPvalch,GlOBPES,-420.75476074
NGA,RealGDPvalch,GlOBPES,-244.28338623
Oceania,RealGDPvalch,GlOBPES,141.37425232
Oth_CEE_CIS,RealGDPvalch,GlOBPES,509.2605896
Oth_Europe,RealGDPvalch,GlOBPES,61.571647644
PAK,RealGDPvalch,GlOBPES,-46.051006317
PHL,RealGDPvalch,GlOBPES,142.62953186
POL,RealGDPvalch,GlOBPES,610.98126221
R_S_Asia,RealGDPvalch,GlOBPES,37.966464996
R_SE_Asia,RealGDPvalch,GlOBPES,13.933418274
Russia,RealGDPvalch,GlOBPES,555.40716553
S_o_Amer,RealGDPvalch,GlOBPES,537.89233398
S_S_AFR,RealGDPvalch,GlOBPES,-804.0501709
TUR,RealGDPvalch,GlOBPES,139.29516602
USA,RealGDPvalch,GlOBPES,1635.5643311
VNM,RealGDPvalch,GlOBPES,15.10665226
XAC,RealGDPvalch,GlOBPES,-73.122314453
ZAF,RealGDPvalch,GlOBPES,-71.949630737
World,RealGDPvalch,GlOBPES,12903.125
ARG,NomGDPvalch,GlOBPES,364.625
BGD,NomGDPvalch,GlOBPES,70.78125
BRAZIL,NomGDPvalch,GlOBPES,-1074
C_C_Amer,NomGDPvalch,GlOBPES,-124.5625
CAN,NomGDPvalch,GlOBPES,-2298.25
CHIHKG,NomGDPvalch,GlOBPES,5434
COL,NomGDPvalch,GlOBPES,372.25
E_Asia,NomGDPvalch,GlOBPES,95.453125
EGY,NomGDPvalch,GlOBPES,800.6875
ETH,NomGDPvalch,GlOBPES,-216.3359375
EU27,NomGDPvalch,GlOBPES,-6540
IDN,NomGDPvalch,GlOBPES,7432.875
INDIA,NomGDPvalch,GlOBPES,-25.5
JAPAN,NomGDPvalch,GlOBPES,-1724
KOR,NomGDPvalch,GlOBPES,-724
MAR,NomGDPvalch,GlOBPES,-290.109375
MDG,NomGDPvalch,GlOBPES,3.041015625
MEAS_NAfr,NomGDPvalch,GlOBPES,1912
MEX,NomGDPvalch,GlOBPES,325.5
MYS,NomGDPvalch,GlOBPES,-65.8125
NGA,NomGDPvalch,GlOBPES,1263.25
Oceania,NomGDPvalch,GlOBPES,-1689
Oth_CEE_CIS,NomGDPvalch,GlOBPES,-111
Oth_Europe,NomGDPvalch,GlOBPES,419.125
PAK,NomGDPvalch,GlOBPES,-159.046875
PHL,NomGDPvalch,GlOBPES,-36.75
POL,NomGDPvalch,GlOBPES,507.4375
R_S_Asia,NomGDPvalch,GlOBPES,-78.015625
R_SE_Asia,NomGDPvalch,GlOBPES,-78.875
Russia,NomGDPvalch,GlOBPES,2497
S_o_Amer,NomGDPvalch,GlOBPES,223.125
S_S_AFR,NomGDPvalch,GlOBPES,2242.25
TUR,NomGDPvalch,GlOBPES,-195.5
USA,NomGDPvalch,GlOBPES,-13964
VNM,NomGDPvalch,GlOBPES,35.875
XAC,NomGDPvalch,GlOBPES,3114.375
ZAF,NomGDPvalch,GlOBPES,9.59375
World,NomGDPvalch,GlOBPES,-2271.5136719
ARG,GDPpct,NATPES,0.029144655913
BGD,GDPpct,NATPES,-0.057751502842
BRAZIL,GDPpct,NATPES,9.37966629862785E-0003
C_C_Amer,GDPpct,NATPES,0.024872653186
CAN,GDPpct,NATPES,-3.90204600989819E-0003
CHIHKG,GDPpct,NATPES,0.02895606868
COL,GDPpct,NATPES,0.012721234001
E_Asia,GDPpct,NATPES,8.04492551833391E-0003
EGY,GDPpct,NATPES,0.2632124722
ETH,GDPpct,NATPES,0.037401691079
EU27,GDPpct,NATPES,6.05178764089942E-0003
IDN,GDPpct,NATPES,0.038861330599
INDIA,GDPpct,NATPES,0.059101972729
JAPAN,GDPpct,NATPES,6.13865023478866E-0003
KOR,GDPpct,NATPES,9.35193896293640E-0003
MAR,GDPpct,NATPES,0.070193484426
MDG,GDPpct,NATPES,0.081679925323
MEAS_NAfr,GDPpct,NATPES,0.065311767161
MEX,GDPpct,NATPES,-2.52961972728372E-0003
MYS,GDPpct,NATPES,-0.059090379626
NGA,GDPpct,NATPES,-0.011388038285
Oceania,GDPpct,NATPES,8.69514513760805E-0003
Oth_CEE_CIS,GDPpct,NATPES,0.033821843565
Oth_Europe,GDPpct,NATPES,3.88413085602224E-0003
PAK,GDPpct,NATPES,-0.038850273937
PHL,GDPpct,NATPES,0.028437908739
POL,GDPpct,NATPES,0.081533804536
R_S_Asia,GDPpct,NATPES,0.016401063651
R_SE_Asia,GDPpct,NATPES,7.27846706286073E-0003
Russia,GDPpct,NATPES,0.015551341698
S_o_Amer,GDPpct,NATPES,0.032054048032
S_S_AFR,GDPpct,NATPES,-0.04595227167
TUR,GDPpct,NATPES,0.012887733988
USA,GDPpct,NATPES,9.99173149466515E-0003
VNM,GDPpct,NATPES,6.42686197534204E-0003
XAC,GDPpct,NATPES,0.032526724041
ZAF,GDPpct,NATPES,-3.21014970541000E-0003
World,GDPpct,NATPES,0.017669335008
ARG,RealGDPvalch,NATPES,194.94871521
BGD,RealGDPvalch,NATPES,-173.47354126
BRAZIL,RealGDPvalch,NATPES,297.03292847
C_C_Amer,RealGDPvalch,NATPES,181.47940063
CAN,RealGDPvalch,NATPES,-102.09240723
CHIHKG,RealGDPvalch,NATPES,5485.1503906
COL,RealGDPvalch,NATPES,71.77684021
E_Asia,RealGDPvalch,NATPES,13.295919418
EGY,RealGDPvalch,NATPES,1430.2104492
ETH,RealGDPvalch,NATPES,36.72568512
EU27,RealGDPvalch,NATPES,1181.5754395
IDN,RealGDPvalch,NATPES,450.64004517
INDIA,RealGDPvalch,NATPES,1667.0070801
JAPAN,RealGDPvalch,NATPES,269.73434448
KOR,RealGDPvalch,NATPES,161.60548401
MAR,RealGDPvalch,NATPES,103.52276611
MDG,RealGDPvalch,NATPES,15.272301674
MEAS_NAfr,RealGDPvalch,NATPES,3101.5698242
MEX,RealGDPvalch,NATPES,-41.3411026
MYS,RealGDPvalch,NATPES,-288.72555542
NGA,RealGDPvalch,NATPES,-177.97677612
Oceania,RealGDPvalch,NATPES,259.64120483
Oth_CEE_CIS,RealGDPvalch,NATPES,497.28460693
