ACOM,AREG,AREG,TRADERES,SCEN,Value
Services,HighIncome,LowIncome,pfob,SRLand,0.078682467341
AgrFishFor,MidIncome,LowIncome,pfob,SRLand,-0.029129466042
MinManuf,MidIncome,LowIncome,pfob,SRLand,0.12656135857
Services,MidIncome,LowIncome,pfob,SRLand,0.08946351707
AgrFishFor,LowIncome,LowIncome,pfob,SRLand,0.043969143182
MinManuf,LowIncome,LowIncome,pfob,SRLand,0.11096394062
Services,LowIncome,LowIncome,pfob,SRLand,0.10174542665
AgrFishFor,HighIncome,HighIncome,qxs,SRnD20,1.0006422997
MinManuf,HighIncome,HighIncome,qxs,SRnD20,-0.14146964252
Services,HighIncome,HighIncome,qxs,SRnD20,-3.72696784324944E-0003
AgrFishFor,MidIncome,HighIncome,qxs,SRnD20,1.2489016056
MinManuf,MidIncome,HighIncome,qxs,SRnD20,-0.04620173946
Services,MidIncome,HighIncome,qxs,SRnD20,0.014050236903
AgrFishFor,LowIncome,HighIncome,qxs,SRnD20,-1.9625666142
MinManuf,LowIncome,HighIncome,qxs,SRnD20,0.13059239089
Services,LowIncome,HighIncome,qxs,SRnD20,0.15039989352
AgrFishFor,HighIncome,MidIncome,qxs,SRnD20,0.6321709156
MinManuf,HighIncome,MidIncome,qxs,SRnD20,-0.07258503139
Services,HighIncome,MidIncome,qxs,SRnD20,0.15984210372
AgrFishFor,MidIncome,MidIncome,qxs,SRnD20,0.53676110506
MinManuf,MidIncome,MidIncome,qxs,SRnD20,0.078151531518
Services,MidIncome,MidIncome,qxs,SRnD20,0.13323695958
AgrFishFor,LowIncome,MidIncome,qxs,SRnD20,-1.4667036533
MinManuf,LowIncome,MidIncome,qxs,SRnD20,0.19787871838
Services,LowIncome,MidIncome,qxs,SRnD20,0.32493034005
AgrFishFor,HighIncome,LowIncome,qxs,SRnD20,3.6502349377
MinManuf,HighIncome,LowIncome,qxs,SRnD20,-0.28587177396
Services,HighIncome,LowIncome,qxs,SRnD20,-0.08762281388
AgrFishFor,MidIncome,LowIncome,qxs,SRnD20,2.7472925186
MinManuf,MidIncome,LowIncome,qxs,SRnD20,-0.050396490842
Services,MidIncome,LowIncome,qxs,SRnD20,-0.13498678803
AgrFishFor,LowIncome,LowIncome,qxs,SRnD20,-0.86569547653
MinManuf,LowIncome,LowIncome,qxs,SRnD20,0.097308315337
Services,LowIncome,LowIncome,qxs,SRnD20,0.053438078612
AgrFishFor,HighIncome,HighIncome,pfob,SRnD20,-1.3517546654
MinManuf,HighIncome,HighIncome,pfob,SRnD20,0.33324840665
Services,HighIncome,HighIncome,pfob,SRnD20,0.16221946478
AgrFishFor,MidIncome,HighIncome,pfob,SRnD20,-1.3741301298
MinManuf,MidIncome,HighIncome,pfob,SRnD20,0.2916380167
Services,MidIncome,HighIncome,pfob,SRnD20,0.16644985974
AgrFishFor,LowIncome,HighIncome,pfob,SRnD20,-0.8129568696
MinManuf,LowIncome,HighIncome,pfob,SRnD20,0.21775682271
Services,LowIncome,HighIncome,pfob,SRnD20,0.12889610231
AgrFishFor,HighIncome,MidIncome,pfob,SRnD20,-1.7075120211
MinManuf,HighIncome,MidIncome,pfob,SRnD20,0.31883132458
Services,HighIncome,MidIncome,pfob,SRnD20,0.16933943331
AgrFishFor,MidIncome,MidIncome,pfob,SRnD20,-1.5051771402
MinManuf,MidIncome,MidIncome,pfob,SRnD20,0.32854562998
Services,MidIncome,MidIncome,pfob,SRnD20,0.18427564204
AgrFishFor,LowIncome,MidIncome,pfob,SRnD20,-1.3667161465
MinManuf,LowIncome,MidIncome,pfob,SRnD20,0.25076988339
Services,LowIncome,MidIncome,pfob,SRnD20,0.13025039434
AgrFishFor,HighIncome,LowIncome,pfob,SRnD20,-1.1544634104
MinManuf,HighIncome,LowIncome,pfob,SRnD20,0.29460775852
Services,HighIncome,LowIncome,pfob,SRnD20,0.16812501848
AgrFishFor,MidIncome,LowIncome,pfob,SRnD20,-1.4602365494
MinManuf,MidIncome,LowIncome,pfob,SRnD20,0.29774624109
Services,MidIncome,LowIncome,pfob,SRnD20,0.17984132469
AgrFishFor,LowIncome,LowIncome,pfob,SRnD20,-0.57393813133
MinManuf,LowIncome,LowIncome,pfob,SRnD20,0.21888911724
Services,LowIncome,LowIncome,pfob,SRnD20,0.13202142715
AgrFishFor,HighIncome,HighIncome,qxs,GPESSRRnD20,1.0618152618
MinManuf,HighIncome,HighIncome,qxs,GPESSRRnD20,-0.24240711331
Services,HighIncome,HighIncome,qxs,GPESSRRnD20,0.010575067252
AgrFishFor,MidIncome,HighIncome,qxs,GPESSRRnD20,1.1764820814
MinManuf,MidIncome,HighIncome,qxs,GPESSRRnD20,-0.041469357908
Services,MidIncome,HighIncome,qxs,GPESSRRnD20,0.010707899928
AgrFishFor,LowIncome,HighIncome,qxs,GPESSRRnD20,-1.0138878822
MinManuf,LowIncome,HighIncome,qxs,GPESSRRnD20,0.38782909513
Services,LowIncome,HighIncome,qxs,GPESSRRnD20,0.35189840198
AgrFishFor,HighIncome,MidIncome,qxs,GPESSRRnD20,0.032532442361
MinManuf,HighIncome,MidIncome,qxs,GPESSRRnD20,-0.13063575327
Services,HighIncome,MidIncome,qxs,GPESSRRnD20,0.10721068084
AgrFishFor,MidIncome,MidIncome,qxs,GPESSRRnD20,0.52671551704
