ENDW,AACT,AREGWLD,FACRES,SCEN,Value
AEZ9,MinManuf,MidIncome,qfe,BAU,-1.7378895283
AEZ10,MinManuf,MidIncome,qfe,BAU,-1.8249338865
AEZ11,MinManuf,MidIncome,qfe,BAU,-2.4822471142
AEZ12,MinManuf,MidIncome,qfe,BAU,-2.1909303665
AEZ13,MinManuf,MidIncome,qfe,BAU,-2.1494185925
AEZ14,MinManuf,MidIncome,qfe,BAU,-2.1303110123
AEZ15,MinManuf,MidIncome,qfe,BAU,-2.182425499
AEZ16,MinManuf,MidIncome,qfe,BAU,-2.0324442387
AEZ17,MinManuf,MidIncome,qfe,BAU,-1.931614995
AEZ18,MinManuf,MidIncome,qfe,BAU,-1.6800371408
UnSkLab,MinManuf,MidIncome,qfe,BAU,0.6292335391
SkLab,MinManuf,MidIncome,qfe,BAU,10.355687141
Capital,MinManuf,MidIncome,qfe,BAU,33.934906006
NatRes,MinManuf,MidIncome,qfe,BAU,-0.11496662349
AEZ1,Services,MidIncome,qfe,BAU,-6.0901823044
AEZ2,Services,MidIncome,qfe,BAU,-6.0141944885
AEZ3,Services,MidIncome,qfe,BAU,-6.1906347275
AEZ4,Services,MidIncome,qfe,BAU,-6.2847547531
AEZ5,Services,MidIncome,qfe,BAU,-6.4213552475
AEZ6,Services,MidIncome,qfe,BAU,-5.8661084175
AEZ7,Services,MidIncome,qfe,BAU,-6.6214604378
AEZ8,Services,MidIncome,qfe,BAU,-6.1305456161
AEZ9,Services,MidIncome,qfe,BAU,-6.3820829391
AEZ10,Services,MidIncome,qfe,BAU,-6.4882545471
AEZ11,Services,MidIncome,qfe,BAU,-7.2891573906
AEZ12,Services,MidIncome,qfe,BAU,-6.9343919754
AEZ13,Services,MidIncome,qfe,BAU,-6.8838119507
AEZ14,Services,MidIncome,qfe,BAU,-6.8605294228
AEZ15,Services,MidIncome,qfe,BAU,-6.9240274429
AEZ16,Services,MidIncome,qfe,BAU,-6.7412605286
AEZ17,Services,MidIncome,qfe,BAU,-6.6183452606
AEZ18,Services,MidIncome,qfe,BAU,-6.3115057945
UnSkLab,Services,MidIncome,qfe,BAU,4.2613258362
SkLab,Services,MidIncome,qfe,BAU,12.969137192
Capital,Services,MidIncome,qfe,BAU,43.927513123
NatRes,Services,MidIncome,qfe,BAU,-34.692401886
AEZ1,AgrFishFor,LowIncome,qfe,BAU,0.32454973459
AEZ2,AgrFishFor,LowIncome,qfe,BAU,0.31316131353
AEZ3,AgrFishFor,LowIncome,qfe,BAU,0.24572992325
AEZ4,AgrFishFor,LowIncome,qfe,BAU,0.24632577598
AEZ5,AgrFishFor,LowIncome,qfe,BAU,0.23809094727
AEZ6,AgrFishFor,LowIncome,qfe,BAU,-0.10190660506
AEZ7,AgrFishFor,LowIncome,qfe,BAU,-0.2844825685
AEZ8,AgrFishFor,LowIncome,qfe,BAU,0.049791637808
AEZ9,AgrFishFor,LowIncome,qfe,BAU,-0.20227083564
AEZ10,AgrFishFor,LowIncome,qfe,BAU,-0.048046056181
AEZ11,AgrFishFor,LowIncome,qfe,BAU,-0.23117502034
AEZ12,AgrFishFor,LowIncome,qfe,BAU,-0.67043787241
AEZ13,AgrFishFor,LowIncome,qfe,BAU,0.13876536489
AEZ14,AgrFishFor,LowIncome,qfe,BAU,-1.7555199862
AEZ15,AgrFishFor,LowIncome,qfe,BAU,-1.27465868
AEZ16,AgrFishFor,LowIncome,qfe,BAU,-2.8515501022
AEZ17,AgrFishFor,LowIncome,qfe,BAU,0.071545653045
AEZ18,AgrFishFor,LowIncome,qfe,BAU,-0.92626351118
UnSkLab,AgrFishFor,LowIncome,qfe,BAU,1.2796100378
SkLab,AgrFishFor,LowIncome,qfe,BAU,2.5064485073
Capital,AgrFishFor,LowIncome,qfe,BAU,10.683495522
NatRes,AgrFishFor,LowIncome,qfe,BAU,-2.9622497559
AEZ1,MinManuf,LowIncome,qfe,BAU,2.1924099922
AEZ2,MinManuf,LowIncome,qfe,BAU,2.1597795486
AEZ3,MinManuf,LowIncome,qfe,BAU,2.1948521137
AEZ4,MinManuf,LowIncome,qfe,BAU,1.8816132545
AEZ5,MinManuf,LowIncome,qfe,BAU,1.6258095503
AEZ6,MinManuf,LowIncome,qfe,BAU,1.308712244
AEZ7,MinManuf,LowIncome,qfe,BAU,2.292185545
AEZ8,MinManuf,LowIncome,qfe,BAU,1.5891283751
AEZ9,MinManuf,LowIncome,qfe,BAU,1.1444159746
AEZ10,MinManuf,LowIncome,qfe,BAU,1.157497406
AEZ11,MinManuf,LowIncome,qfe,BAU,0.60139757395
AEZ12,MinManuf,LowIncome,qfe,BAU,0.80559110641
AEZ13,MinManuf,LowIncome,qfe,BAU,1.8249512911
AEZ14,MinManuf,LowIncome,qfe,BAU,1.1870697737
AEZ15,MinManuf,LowIncome,qfe,BAU,1.097222805
AEZ16,MinManuf,LowIncome,qfe,BAU,1.6133378744
AEZ17,MinManuf,LowIncome,qfe,BAU,1.4199479818
AEZ18,MinManuf,LowIncome,qfe,BAU,1.6641951799
UnSkLab,MinManuf,LowIncome,qfe,BAU,-4.6809840202
